state,variable,correlation,p_value,significant,n
florida,registered_minor,0.755697173302853,5.301595986914384e-13,True,64
florida,registered_npa,0.6804353142701206,6.209425833969151e-10,True,64
florida,registered_total,0.7267954341452858,1.0527040570750293e-11,True,64
florida,trump_/_vance_(rep),0.7010860453388191,1.1114843331903119e-10,True,64
florida,harris_/_walz_(dem),0.7184668862161944,2.3239511978352898e-11,True,64
florida,avg_age_at_death,0.03198163979265989,0.8667642037752481,False,30
florida,median_age_at_death,-0.012721518217370973,0.9468042767755264,False,30
florida,std_age_at_death,0.08514861721207014,0.7722612424337466,False,14
florida,involved_in_military_sum,0.8120183890593935,3.9048512137510994e-16,True,64
florida,involved_in_military_mean,-0.04542327095945285,0.7215349112433928,False,64
florida,involved_in_politics_sum,0.8889381172301104,1.0680788718969835e-22,True,64
florida,involved_in_politics_mean,-0.17271321909160894,0.17233026601074833,False,64
florida,involved_in_sports_sum,0.8997826715492467,5.215820371832367e-24,True,64
florida,involved_in_sports_mean,0.2013355431366729,0.11064004117835059,False,64
florida,involved_in_music_sum,0.7246684831662109,1.2921777504782202e-11,True,64
florida,involved_in_music_mean,0.14390432217140572,0.2566010973958681,False,64
indiana,median_age,-0.12896273303903324,0.37208491708749264,False,50
indiana,median_household_income,-0.004797141347357006,0.9736242516336038,False,50
indiana,median_home_value,0.13553542790530446,0.34799769083795473,False,50
indiana,pct_white_alone,0.5659156211110372,1.8436193230113653e-05,True,50
indiana,pct_black_alone,0.5518139114483884,3.2687992402756436e-05,True,50
indiana,pct_asian_alone,0.1283344965261753,0.3744384473866878,False,50
indiana,pct_aian_alone,0.039283173261457575,0.7865042418873652,False,50
indiana,pct_nhpi_alone,-0.487169218861563,0.00033332559024991696,True,50
indiana,pct_someother_alone,-0.5804472877337494,9.935071174429484e-06,True,50
indiana,pct_twoormore,0.6131798995178588,2.2011850063013216e-06,True,50
indiana,pct_hispanic,0.10636678803532044,0.4622220635694323,False,50
indiana,hs_grad_or_higher,0.1112922464862587,0.44162885364056564,False,50
indiana,bachelors_or_higher,-0.001311872045725732,0.9927858587566699,False,50
indiana,unemployment_rate,0.30716461549780627,0.030021909616871283,True,50
indiana,pct_below_poverty_level,0.11359293461153878,0.4321869815274903,False,50
nebraska,median_age,0.017020371678588192,0.8713607392760833,False,93
nebraska,median_household_income,0.30560963668609886,0.0028923798386254283,True,93
nebraska,median_home_value,0.268554891196396,0.009245955985918358,True,93
nebraska,pct_white_alone,-0.025413399813499236,0.808933292060969,False,93
nebraska,pct_black_alone,-0.13715634565049592,0.18985635589266062,False,93
nebraska,pct_asian_alone,-0.08152652762378577,0.43723281921514634,False,93
nebraska,pct_aian_alone,-0.10072647250718676,0.3367133656912185,False,93
nebraska,pct_nhpi_alone,0.05597742578960594,0.5940724134921037,False,93
nebraska,pct_someother_alone,0.10510579908009031,0.3160174717506869,False,93
nebraska,pct_twoormore,-0.13340786323149623,0.20236381558304828,False,93
nebraska,pct_hispanic,-0.0730752063965155,0.48635854681933105,False,93
nebraska,hs_grad_or_higher,0.1910578796862921,0.066577635075442,False,93
nebraska,bachelors_or_higher,0.06981397629530979,0.5060709759390167,False,93
nebraska,unemployment_rate,-0.024104683590251166,0.8185995817746681,False,93
nebraska,pct_below_poverty_level,-0.2613641686330286,0.01138785733622143,True,93
wisconsin,median_age,-0.16431890209074534,0.16780671879511738,False,72
