GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,county_clean
27067,"Kandiyohi County, Minnesota",39.8,75097,230500,9.3,0.1,4.5,0.0,86.0,76.4,5.6,0.9,27.1,90.8,3.6,10.0,Kandiyohi County
27069,"Kittson County, Minnesota",48.4,69615,134400,1.2,0.8,0.5,0.0,97.5,93.5,0.5,1.1,28.0,95.9,4.4,9.7,Kittson County
27071,"Koochiching County, Minnesota",50.5,69115,143700,0.8,0.1,0.5,0.0,98.5,89.9,0.6,3.9,20.3,93.5,4.2,10.7,Koochiching County
27073,"Lac qui Parle County, Minnesota",47.7,71639,143400,2.4,0.1,0.5,0.0,96.9,93.4,0.6,0.7,22.1,95.2,1.8,8.0,Lac qui Parle County
27075,"Lake County, Minnesota",49.6,75621,222900,1.0,0.2,0.3,0.0,98.6,94.8,0.4,2.1,25.8,93.2,2.4,8.3,Lake County
27077,"Lake of the Woods County, Minnesota",50.8,70091,215000,0.2,0.0,0.4,0.0,99.3,90.7,0.3,5.2,21.4,96.1,1.8,8.2,Lake of the Woods County
27079,"Le Sueur County, Minnesota",41.4,90218,287700,4.9,0.1,1.6,0.0,93.4,89.6,0.9,0.8,25.4,95.0,4.1,7.1,Le Sueur County
27081,"Lincoln County, Minnesota",45.0,67715,152200,0.9,0.5,0.9,0.0,97.7,94.2,0.2,1.8,24.4,94.3,2.7,9.2,Lincoln County
27083,"Lyon County, Minnesota",37.3,72761,193100,6.4,0.2,0.8,0.0,92.6,82.0,2.5,1.1,28.6,91.9,3.4,12.5,Lyon County
27087,"Mahnomen County, Minnesota",35.2,53925,146500,2.4,0.3,0.4,0.5,96.3,44.9,0.1,52.3,14.3,86.7,10.2,20.9,Mahnomen County
27089,"Marshall County, Minnesota",43.2,71701,153300,3.6,0.1,1.0,0.0,95.4,91.9,0.3,1.2,18.9,92.8,3.0,7.4,Marshall County
27091,"Martin County, Minnesota",44.5,62969,158800,5.0,0.4,1.3,0.1,93.2,88.7,0.8,0.9,23.8,94.7,4.4,11.1,Martin County
27085,"McLeod County, Minnesota",41.5,78468,233400,6.1,0.2,0.7,0.2,92.8,89.0,0.5,1.0,19.6,93.5,3.3,7.7,McLeod County
27093,"Meeker County, Minnesota",42.3,75037,228900,3.3,0.0,0.9,0.0,95.7,92.9,0.2,1.1,20.4,93.7,2.6,8.3,Meeker County
27095,"Mille Lacs County, Minnesota",41.2,71455,237500,1.7,0.0,0.4,0.1,97.8,88.3,0.3,6.3,17.6,91.3,4.4,10.5,Mille Lacs County
