GEOID,County,Median_Age,Median_Household_Income,Median_Home_Value,Pct_White_Alone,Pct_Black_Alone,Pct_Asian_Alone,Pct_AIAN_Alone,Pct_NHPI_Alone,Pct_SomeOther_Alone,Pct_TwoOrMore,Pct_Hispanic,HS_Grad_or_Higher,Bachelors_or_Higher,Unemployment_Rate,Pct_Below_Poverty_Level,StateFIPS,CountyFIPS,County_clean,county_clean,highway_count
48451,"Tom Green County, Texas",35.8,66254,186700,36.0,0.7,3.3,0.1,59.9,51.9,3.4,1.6,25.1,87.2,3.1,11.7,48,451,tom green,tom green,15.0
48453,"Travis County, Texas",35.5,97169,487600,24.3,1.0,6.3,0.8,67.5,47.7,7.8,2.2,55.5,91.5,4.3,11.0,48,453,travis,travis,8.0
48455,"Trinity County, Texas",49.8,51663,110100,9.1,0.4,1.2,0.0,89.3,77.3,8.7,1.7,15.9,89.0,7.1,16.1,48,455,trinity,trinity,3.0
48457,"Tyler County, Texas",42.5,50647,138400,6.7,0.1,1.2,0.0,92.0,77.1,10.6,1.8,12.0,83.1,8.9,19.6,48,457,tyler,tyler,1.0
48459,"Upshur County, Texas",40.3,62794,171200,9.2,0.1,0.7,0.0,89.9,78.2,7.2,2.5,17.5,86.8,4.4,13.3,48,459,upshur,upshur,4.0
48461,"Upton County, Texas",41.1,52321,106300,53.0,3.1,0.1,0.0,43.8,41.6,0.9,1.0,8.8,81.5,3.8,17.1,48,461,upton,,0.0
48463,"Uvalde County, Texas",34.6,57849,144400,63.9,0.9,5.9,0.0,29.3,25.8,0.6,2.7,20.2,78.3,3.2,21.9,48,463,uvalde,uvalde,1.0
48465,"Val Verde County, Texas",32.3,59673,151500,73.9,0.4,6.5,0.2,19.0,15.7,1.2,0.9,21.3,75.1,4.8,18.3,48,465,val verde,val verde,7.0
48467,"Van Zandt County, Texas",42.1,68274,199500,12.1,0.2,0.5,0.0,87.2,81.4,2.7,1.8,18.2,87.3,4.0,11.5,48,467,van zandt,van zandt,1.0
48469,"Victoria County, Texas",36.6,70101,197600,42.5,0.5,4.5,0.0,52.4,43.0,5.5,1.3,19.7,85.1,4.3,16.0,48,469,victoria,victoria,1.0
48471,"Walker County, Texas",37.1,49862,207900,17.7,0.4,3.5,0.0,78.4,53.2,19.8,2.5,21.4,84.8,7.4,17.9,48,471,walker,,0.0
48473,"Waller County, Texas",30.8,76135,292000,27.3,0.3,4.5,0.9,67.0,38.8,23.4,2.9,26.6,83.9,6.2,13.5,48,473,waller,,0.0
48475,"Ward County, Texas",34.9,71719,138800,50.8,0.1,4.5,0.0,44.6,37.5,4.8,1.4,10.7,81.0,4.1,14.6,48,475,ward,,0.0
48477,"Washington County, Texas",40.9,75085,270100,16.5,0.1,1.5,0.1,81.9,61.7,15.1,3.1,31.0,90.4,2.6,12.6,48,477,washington,washington,1.0
48479,"Webb County, Texas",29.8,62506,178900,90.2,0.3,4.5,0.1,4.9,3.6,0.4,0.5,20.9,69.8,5.5,21.0,48,479,webb,webb,18.0
48481,"Wharton County, Texas",38.4,66100,182700,37.0,0.7,3.6,0.2,58.5,43.9,12.4,0.6,19.2,83.9,7.0,14.5,48,481,wharton,wharton,3.0
48483,"Wheeler County, Texas",40.6,67964,97600,20.8,0.0,2.8,1.4,75.0,69.0,1.7,4.0,19.5,87.6,3.4,14.2,48,483,wheeler,,0.0
48485,"Wichita County, Texas",35.0,62168,141600,17.9,0.6,1.6,0.2,79.7,63.3,10.0,2.2,24.8,88.0,3.5,15.9,48,485,wichita,wichita,1.0
48487,"Wilbarger County, Texas",39.5,51626,98800,25.8,0.3,3.7,0.1,70.1,55.4,6.1,4.7,17.4,81.3,9.8,18.8,48,487,wilbarger,wilbarger,1.0
48489,"Willacy County, Texas",33.7,45645,60800,83.8,0.3,3.1,0.0,12.8,10.5,1.4,0.6,12.2,67.7,7.3,24.6,48,489,willacy,,0.0
48491,"Williamson County, Texas",37.2,108309,414600,18.9,1.1,4.1,0.4,75.5,55.1,6.6,1.9,47.4,94.2,4.0,6.3,48,491,williamson,williamson,4.0
48493,"Wilson County, Texas",40.1,92461,286300,35.3,0.5,3.6,0.1,60.5,55.6,1.8,3.3,26.3,89.6,3.9,9.8,48,493,wilson,,0.0
48495,"Winkler County, Texas",35.3,91898,121200,56.5,0.6,3.4,1.4,38.2,32.5,3.6,2.5,10.0,73.8,1.9,12.0,48,495,winkler,,0.0
48497,"Wise County, Texas",40.0,89897,277200,18.0,0.9,1.5,0.1,79.4,73.8,1.4,2.0,20.6,86.6,5.0,9.1,48,497,wise,wise,6.0
48499,"Wood County, Texas",48.4,62524,195100,9.2,0.2,1.5,0.3,88.8,81.3,4.0,1.8,22.3,86.7,5.7,12.6,48,499,wood,,0.0
48501,"Yoakum County, Texas",33.0,82261,183000,62.8,0.0,2.4,0.0,34.8,31.5,0.1,3.8,14.2,75.7,3.4,12.0,48,501,yoakum,,0.0
48503,"Young County, Texas",40.7,63723,165300,16.0,2.0,2.1,0.2,79.8,75.6,1.4,1.1,23.6,89.4,2.9,16.7,48,503,young,,0.0
48505,"Zapata County, Texas",31.5,36527,88800,89.3,0.1,4.5,0.0,6.1,4.6,0.3,0.0,13.3,64.1,8.0,37.4,48,505,zapata,,0.0
48507,"Zavala County, Texas",32.5,41887,88100,90.7,0.0,2.0,0.0,7.4,6.1,0.8,0.8,9.6,73.4,7.4,36.3,48,507,zavala,,0.0
